Namespace(exp_name='exp2', model='dgcnn', dataset='S3DIS', test_area='2', batch_size=16, test_batch_size=8, epochs=100, use_sgd=False, lr=0.001, step_size=10, lr_decay=0.7, momentum=0.9, scheduler='cos', no_cuda=False, seed=1, eval=False, num_points=4096, dropout=0.5, emb_dims=1024, k=20)
Train 33, loss: 0.041081, train acc: 0.985145, train avg acc: 0.984243, train iou: 0.970091
Test 33, loss: 0.207228, test acc: 0.947398, test avg acc: 0.953382, test iou: 0.894107
Train 34, loss: 0.042099, train acc: 0.984901, train avg acc: 0.983942, train iou: 0.969654
Test 34, loss: 0.197867, test acc: 0.954117, test avg acc: 0.960704, test iou: 0.906886
Train 35, loss: 0.037906, train acc: 0.986331, train avg acc: 0.985532, train iou: 0.972463
Test 35, loss: 0.302716, test acc: 0.923375, test avg acc: 0.935195, test iou: 0.843178
Train 36, loss: 0.038348, train acc: 0.985933, train avg acc: 0.985116, train iou: 0.971720
Test 36, loss: 0.164220, test acc: 0.959132, test avg acc: 0.963601, test iou: 0.917735
Train 37, loss: 0.037037, train acc: 0.986461, train avg acc: 0.985610, train iou: 0.972720
Test 37, loss: 0.176160, test acc: 0.953916, test avg acc: 0.959067, test iou: 0.905514
Train 38, loss: 0.039668, train acc: 0.985512, train avg acc: 0.984683, train iou: 0.970876
Test 38, loss: 0.281393, test acc: 0.922999, test avg acc: 0.930807, test iou: 0.856403
Train 39, loss: 0.037815, train acc: 0.986318, train avg acc: 0.985546, train iou: 0.972464
Test 39, loss: 0.167352, test acc: 0.958260, test avg acc: 0.963676, test iou: 0.913971
Train 40, loss: 0.035361, train acc: 0.986979, train avg acc: 0.986158, train iou: 0.973737
Test 40, loss: 0.178922, test acc: 0.956713, test avg acc: 0.962995, test iou: 0.911342
Train 41, loss: 0.034409, train acc: 0.987357, train avg acc: 0.986580, train iou: 0.974519
Test 41, loss: 0.219348, test acc: 0.953000, test avg acc: 0.958979, test iou: 0.906759
Train 42, loss: 0.035669, train acc: 0.986942, train avg acc: 0.986162, train iou: 0.973670
Test 42, loss: 0.185441, test acc: 0.954529, test avg acc: 0.957509, test iou: 0.911144
Train 43, loss: 0.037655, train acc: 0.986366, train avg acc: 0.985590, train iou: 0.972609
Test 43, loss: 0.143769, test acc: 0.960281, test avg acc: 0.962438, test iou: 0.919085
Train 44, loss: 0.034250, train acc: 0.987534, train avg acc: 0.986753, train iou: 0.974849
Test 44, loss: 0.282002, test acc: 0.929921, test avg acc: 0.939504, test iou: 0.859955
Train 45, loss: 0.033291, train acc: 0.987780, train avg acc: 0.987037, train iou: 0.975328
Test 45, loss: 0.188356, test acc: 0.956304, test avg acc: 0.962148, test iou: 0.912236
Train 46, loss: 0.032392, train acc: 0.988036, train avg acc: 0.987308, train iou: 0.975841
Test 46, loss: 0.217484, test acc: 0.949336, test avg acc: 0.956875, test iou: 0.894399
Train 47, loss: 0.032450, train acc: 0.988063, train avg acc: 0.987338, train iou: 0.975857
Test 47, loss: 0.152045, test acc: 0.960073, test avg acc: 0.963077, test iou: 0.919814
Train 48, loss: 0.032185, train acc: 0.988175, train avg acc: 0.987491, train iou: 0.976093
Test 48, loss: 0.208915, test acc: 0.954234, test avg acc: 0.961524, test iou: 0.907077
Train 49, loss: 0.038271, train acc: 0.985982, train avg acc: 0.984984, train iou: 0.971374
Test 49, loss: 0.193272, test acc: 0.951871, test avg acc: 0.958717, test iou: 0.900528
Train 50, loss: 0.033668, train acc: 0.987731, train avg acc: 0.986930, train iou: 0.975170
Test 50, loss: 0.234307, test acc: 0.945178, test avg acc: 0.953586, test iou: 0.886949
Train 51, loss: 0.032896, train acc: 0.987860, train avg acc: 0.987149, train iou: 0.975464
Test 51, loss: 0.207889, test acc: 0.953237, test avg acc: 0.959588, test iou: 0.907568
Train 52, loss: 0.031475, train acc: 0.988355, train avg acc: 0.987616, train iou: 0.976447
Test 52, loss: 0.212112, test acc: 0.954819, test avg acc: 0.962160, test iou: 0.908222
Train 53, loss: 0.036107, train acc: 0.986843, train avg acc: 0.986152, train iou: 0.973569
Test 53, loss: 0.269947, test acc: 0.935188, test avg acc: 0.944395, test iou: 0.868418
Train 54, loss: 0.037463, train acc: 0.986387, train avg acc: 0.985498, train iou: 0.972403
Test 54, loss: 0.172818, test acc: 0.952927, test avg acc: 0.952443, test iou: 0.908715
Train 55, loss: 0.032407, train acc: 0.988012, train avg acc: 0.987276, train iou: 0.975729
Test 55, loss: 0.196109, test acc: 0.956131, test avg acc: 0.962708, test iou: 0.911045
Train 56, loss: 0.030814, train acc: 0.988682, train avg acc: 0.987968, train iou: 0.977127
Test 56, loss: 0.167930, test acc: 0.958661, test avg acc: 0.962757, test iou: 0.917467
Train 57, loss: 0.030587, train acc: 0.988698, train avg acc: 0.988002, train iou: 0.977075
Test 57, loss: 0.169251, test acc: 0.959862, test avg acc: 0.965386, test iou: 0.917659
Train 58, loss: 0.029336, train acc: 0.989142, train avg acc: 0.988472, train iou: 0.978013
Test 58, loss: 0.200250, test acc: 0.951307, test avg acc: 0.958359, test iou: 0.901039
Train 59, loss: 0.029968, train acc: 0.988971, train avg acc: 0.988286, train iou: 0.977651
Test 59, loss: 0.142091, test acc: 0.962262, test avg acc: 0.966541, test iou: 0.922048
Train 60, loss: 0.031186, train acc: 0.988593, train avg acc: 0.987989, train iou: 0.976993
Test 60, loss: 0.172477, test acc: 0.956205, test avg acc: 0.956661, test iou: 0.911423
Train 61, loss: 0.033153, train acc: 0.987914, train avg acc: 0.987190, train iou: 0.975609
Test 61, loss: 0.268756, test acc: 0.940023, test avg acc: 0.946100, test iou: 0.889110
Train 62, loss: 0.029652, train acc: 0.989010, train avg acc: 0.988398, train iou: 0.977789
Test 62, loss: 0.243269, test acc: 0.945508, test avg acc: 0.953775, test iou: 0.892855
Train 63, loss: 0.029073, train acc: 0.989213, train avg acc: 0.988591, train iou: 0.978206
Test 63, loss: 0.200630, test acc: 0.958626, test avg acc: 0.965369, test iou: 0.914587
Train 64, loss: 0.029423, train acc: 0.989127, train avg acc: 0.988458, train iou: 0.977952
Test 64, loss: 0.145408, test acc: 0.962659, test avg acc: 0.966503, test iou: 0.923886
Train 65, loss: 0.027686, train acc: 0.989723, train avg acc: 0.989114, train iou: 0.979225
Test 65, loss: 0.259580, test acc: 0.942912, test avg acc: 0.950270, test iou: 0.886717
